tweet_id,p1,p1_conf,p2,p2_conf,p3,p3_conf,type_algorithm
666020888022790149,Welsh_springer_spaniel,0.465074,collie,0.156665,Shetland_sheepdog,0.0614285,p1_algo
666029285002620928,redbone,0.506826,miniature_pinscher,0.07419169999999999,Rhodesian_ridgeback,0.07201,p1_algo
666033412701032449,German_shepherd,0.596461,malinois,0.13858399999999998,bloodhound,0.116197,p1_algo
666044226329800704,Rhodesian_ridgeback,0.408143,redbone,0.360687,miniature_pinscher,0.222752,p1_algo
666049248165822465,miniature_pinscher,0.560311,Rottweiler,0.243682,Doberman,0.154629,p1_algo
666050758794694657,Bernese_mountain_dog,0.651137,English_springer,0.263788,Greater_Swiss_Mountain_dog,0.0161992,p1_algo
666055525042405380,chow,0.692517,Tibetan_mastiff,0.0582794,fur_coat,0.0544486,p1_algo
666058600524156928,miniature_poodle,0.201493,komondor,0.192305,soft-coated_wheaten_terrier,0.08208610000000001,p1_algo
666063827256086533,golden_retriever,0.77593,Tibetan_mastiff,0.0937178,Labrador_retriever,0.07242660000000001,p1_algo
666071193221509120,Gordon_setter,0.503672,Yorkshire_terrier,0.174201,Pekinese,0.109454,p1_algo
666073100786774016,Walker_hound,0.260857,English_foxhound,0.17538199999999998,Ibizan_hound,0.0974705,p1_algo
666082916733198337,pug,0.489814,bull_mastiff,0.404722,French_bulldog,0.0489595,p1_algo
666094000022159362,bloodhound,0.195217,German_shepherd,0.0782598,malinois,0.07562780000000001,p1_algo
666099513787052032,Lhasa,0.58233,Shih-Tzu,0.166192,Dandie_Dinmont,0.0896883,p1_algo
666102155909144576,English_setter,0.298617,Newfoundland,0.149842,borzoi,0.133649,p1_algo
666273097616637952,Italian_greyhound,0.176053,toy_terrier,0.111884,basenji,0.111152,p1_algo
666287406224695296,Maltese_dog,0.8575309999999999,toy_poodle,0.0630638,miniature_poodle,0.0255806,p1_algo
666337882303524864,ox,0.416669,Newfoundland,0.278407,groenendael,0.102643,False
666345417576210432,golden_retriever,0.8587440000000001,Chesapeake_Bay_retriever,0.0547868,Labrador_retriever,0.0142409,p1_algo
666353288456101888,malamute,0.33687399999999995,Siberian_husky,0.147655,Eskimo_dog,0.0934124,p1_algo
666373753744588802,soft-coated_wheaten_terrier,0.326467,Afghan_hound,0.25955100000000003,briard,0.206803,p1_algo
666396247373291520,Chihuahua,0.978108,toy_terrier,0.00939697,papillon,0.00457681,p1_algo
666407126856765440,black-and-tan_coonhound,0.529139,bloodhound,0.24422,flat-coated_retriever,0.17381,p1_algo
666418789513326592,toy_terrier,0.14968,papillon,0.148258,Chihuahua,0.14286,p1_algo
666421158376562688,Blenheim_spaniel,0.906777,cocker_spaniel,0.0903464,Shih-Tzu,0.00111687,p1_algo
666428276349472768,Pembroke,0.371361,chow,0.249394,Pomeranian,0.241878,p1_algo
666435652385423360,Chesapeake_Bay_retriever,0.18413,chain_saw,0.056775300000000015,power_drill,0.0367634,p1_algo
